식당명,지역명,네이버평점
호식이두마리치킨,동대문구,4.53
호세야오리바베큐,동대문구,4.53
카페7773,동대문구,4.53
사미반점,동대문구,4.53
처갓집양념치킨,동대문구,4.53
면곡당,동대문구,4.53
네네치킨,동대문구,4.52
금정분식,동대문구,4.52
진미해물칼국수,동대문구,4.52
우성식당,동대문구,4.52
선일해장국,동대문구,4.52
커피빈,동대문구,4.52
교촌치킨,동대문구,4.52
굽네치킨,동대문구,4.52
한우마을,동대문구,4.52
카빙당,동대문구,4.52
커피디엔에이,동대문구,4.52
더빙스커피,동대문구,4.52
수상한막창,동대문구,4.52
브루클린 커피,동대문구,4.52
마늘떡볶이,동대문구,4.52
왼손우동짜장탕수육,동대문구,4.52
커피마마,동대문구,4.52
카페시그널,동대문구,4.52
할머니보쌈,동대문구,4.52
스마일 명품찹쌀꽈배기,동대문구,4.52
맵당,동대문구,4.52
카페달토끼,동대문구,4.52
오동술,동대문구,4.52
19고깃집,동대문구,4.52
백반집,동대문구,4.52
처갓집양념치킨,동대문구,4.52
라이크라떼,동대문구,4.52
보그너커피,동대문구,4.52
행컵,동대문구,4.52
신남원추어탕,동대문구,4.51
비비큐,동대문구,4.51
마포생주먹고기,동대문구,4.51
불타는왕십리,동대문구,4.51
굿아임찜닭,동대문구,4.51
개코먹태치킨,동대문구,4.51
피자스쿨,동대문구,4.51
남원추어탕,동대문구,4.51
봉순이네보쌈감자탕,동대문구,4.51
히요꼬의주먹밥집,동대문구,4.51
파리바게뜨,동대문구,4.51
카페115번지,동대문구,4.51
벌떡,동대문구,4.51
씹는곱창,동대문구,4.51
장안뷔페,동대문구,4.51
멜로우시티,동대문구,4.51
엉뚱식당,동대문구,4.51
피자메이트,동대문구,4.51
레오펍,동대문구,4.51
루데카,동대문구,4.51
본노엘,동대문구,4.51
교촌치킨,동대문구,4.51
철계단집,동대문구,4.51
이문동 그집,동대문구,4.51
답구정동,동대문구,4.51
국수천천히,동대문구,4.51
명가옛날통닭,동대문구,4.51
치킨의민족,동대문구,4.51
행복한식탁,동대문구,4.51
일미리금계찜닭,동대문구,4.51
계몽시대,동대문구,4.51
뜰아래,동대문구,4.51
교촌치킨,동대문구,4.51
파리바게뜨,동대문구,4.51
을목호프,동대문구,4.5
풍물칼국수,동대문구,4.5
이녁식당,동대문구,4.5
회뜰날,동대문구,4.5
다사랑호프마을,동대문구,4.5
세도락,동대문구,4.5
윤포차,동대문구,4.5
인연,동대문구,4.5
깜닭치킨,동대문구,4.5
여수돌산굴집,동대문구,4.5
강촌칼국수,동대문구,4.5
우리집본가고추장불백,동대문구,4.5
파파준피자,동대문구,4.5
둘둘치킨,동대문구,4.5
만남호프,동대문구,4.5
대호호프앤커피,동대문구,4.5
본가 할머니보쌈,동대문구,4.5
대영식당,동대문구,4.5
문스시,동대문구,4.5
양가네분식,동대문구,4.5
선자네식당,동대문구,4.5
규범곱창,동대문구,4.5
태경김밥마을,동대문구,4.5
중앙,동대문구,4.5
곱창이랑골뱅이랑,동대문구,4.5
가비니아,동대문구,4.5
쪼끼쪼끼,동대문구,4.5
뚱이식당,동대문구,4.5
서초곱창,동대문구,4.5
아인스,동대문구,4.5
하우스치킨,동대문구,4.5
자매랑아찌랑,동대문구,4.5
카페 비반트,동대문구,4.5
큰엄마네,동대문구,4.5
북촌손만두,동대문구,4.5
그랑프리빵,동대문구,4.5
회기 돌 곱창,동대문구,4.5
수리수리포차,동대문구,4.5
시민곱창,동대문구,4.5
또바기 치킨,동대문구,4.5
에스칠공팔공,동대문구,4.5
정성식당,동대문구,4.5
청계분식,동대문구,4.5
친친,동대문구,4.5
우리동네연탄구이,동대문구,4.5
쌈짓돈생삼겹,동대문구,4.5
스타벅스,동대문구,4.5
위너 바,동대문구,4.5
현주네,동대문구,4.5
베브릿지,동대문구,4.5
5로브즈,동대문구,4.5
이디야커피,동대문구,4.5
성은,동대문구,4.5
정다운포차,동대문구,4.5
제제커피,동대문구,4.5
장안생소금구이,동대문구,4.5
오복식당,동대문구,4.5
후루사토,동대문구,4.5
씨와이포차,동대문구,4.5
더드림순대국,동대문구,4.5
이디야커피,동대문구,4.5
승낭분식,동대문구,4.5
서대문꼼장어,동대문구,4.5
굿갓,동대문구,4.5
복구기,동대문구,4.5
강금옥쭈꾸미,동대문구,4.5
커피블랑,동대문구,4.5
커피하우스,동대문구,4.5
토마토피자,동대문구,4.5
라크리아커피,동대문구,4.5
애즈유주얼,동대문구,4.5
두레박,동대문구,4.5
촨커,동대문구,4.5
끌텅,동대문구,4.5
레이크 라떼,동대문구,4.5
엉클하우스,동대문구,4.5
소림마라,동대문구,4.5
수제김밥,동대문구,4.5
피굽남피자,동대문구,4.5
카페엔에스더블유,동대문구,4.5
한상차림 코다리명가,동대문구,4.5
응급실국물떡볶이,동대문구,4.5
영암포차,동대문구,4.5
신가네닭발,동대문구,4.5
디브이카페,동대문구,4.5
푸라닭,동대문구,4.5
알리바바커피,동대문구,4.5
찐 참다랑어 참치상회,동대문구,4.5
노다지,동대문구,4.49
안씨네원조쭈꾸미,동대문구,4.49
하오하오,동대문구,4.49
독,동대문구,4.49
59쌀피자,동대문구,4.49
매우당,동대문구,4.49
돼지국밥,동대문구,4.49
추억의연탄구이,동대문구,4.49
노가리이야기,동대문구,4.49
뚝배기감자탕,동대문구,4.49
학산식당,동대문구,4.49
손문대구막창갈매기살,동대문구,4.49
왕십리곱창골,동대문구,4.49
박가족발,동대문구,4.49
돈사돈,동대문구,4.49
베브릿지,동대문구,4.49
국시랑,동대문구,4.49
포컵스,동대문구,4.49
너디블루,동대문구,4.49
파델라,동대문구,4.49
연희김밥,동대문구,4.49
하카타,동대문구,4.49
미식회,동대문구,4.49
마살라키친,동대문구,4.49
놀부부대찌개,동대문구,4.49
왕족,동대문구,4.49
컴투레스트,동대문구,4.49
스시코야,동대문구,4.49
골목막창,동대문구,4.49
카페나이야가라,동대문구,4.49
베쌀집&샤브샤브,동대문구,4.49
이디야커피,동대문구,4.49
